Scenario,mean_deficit,change_vs_baseline
Baseline,3.4514693161054844,0
HDI +5 points,2.8011185989530674,-0.650350717152417
Poverty -25%,3.1591326000818416,-0.29233671602364275
Water access +10 pp,3.2107010184510787,-0.24076829765440566
Combined,2.2418481996869146,-1.2096211164185697
