variable,Overall
hdi,100
expenditure_pc_thousand,36.60163813728991
poverty_rate,36.54239761378749
log_grdp_pc,34.750560435240025
log_pop_density,34.18236285489662
water_access,21.919682092056796
literacy_rate,20.41056766674336
is_city,0
