Model,RMSE,MAE,R2
Random Forest,7.354637659969904,2.5447597824273114,0.52962727949823
Linear,7.881234958753479,3.788547572840609,0.45456666530199297
Elastic Net,7.933299733162023,3.7285429873605893,0.4485570017197768
XGBoost,8.031783950069665,2.5490484291315076,0.44812139774383514
