variable,access_deficit,hdi,poverty_rate,expenditure_pc_thousand,log_pop_density,log_grdp_pc,water_access,literacy_rate
access_deficit,1,-0.6160686353143724,0.43461932408216014,-0.32658040595357923,-0.7257949711611338,-0.218542028935946,-0.5230181009969931,-0.14881004723219818
hdi,-0.6160686353143724,1,-0.6095007279883601,0.6674881884612226,0.6023343963822226,0.5590489136534806,0.6679513996076648,0.43306243508452974
poverty_rate,0.43461932408216014,-0.6095007279883601,1,-0.5562875419686587,-0.37476509256242335,-0.48222209432658886,-0.4002363554311093,-0.3779491741042445
expenditure_pc_thousand,-0.32658040595357923,0.6674881884612226,-0.5562875419686587,1,0.22937541254117857,0.6560470904971291,0.5082728038363277,0.41170971294934394
log_pop_density,-0.7257949711611338,0.6023343963822226,-0.37476509256242335,0.22937541254117857,1,0.10474021771098377,0.5453027205612475,0.08900743713829472
log_grdp_pc,-0.218542028935946,0.5590489136534806,-0.48222209432658886,0.6560470904971291,0.10474021771098377,1,0.44854750374879865,0.3505158041105308
water_access,-0.5230181009969931,0.6679513996076648,-0.4002363554311093,0.5082728038363277,0.5453027205612475,0.44854750374879865,1,0.24662086907832662
literacy_rate,-0.14881004723219818,0.43306243508452974,-0.3779491741042445,0.41170971294934394,0.08900743713829472,0.3505158041105308,0.24662086907832662,1
